cluster id	num of members	protein name	centroid genome	centroid locus	role_ids	attributes	7978mff	1279779	LAC4b	B8300	A1296	HWBA8	AB031	ab736	manniia	KAB07	bH12OA2	A1	JAB0715	OMTU433	3207	6200	B8342	ABNIH28	ZW851	
1285	18	poly-beta-1,6-N-acetyl-D-glucosamine biosynthesis protein PgaD	7978mff	ACX60_RS06770	0		ACX60_RS06770	ABD1_RS11080	RR41_RS06830	AB987_RS14125	BS103_RS11015	B7L46_RS01815	IX88_RS13155	A4U85_RS06635	ABCIP7010_RS11470		LX00_RS11475	ABA1_RS11630	BJAB0715_RS12670	IOMTU433_RS06865	Aba3207_RS04260	RU84_RS06605	AB895_RS00935	C2U32_RS07380	P795_RS06275	
1286	19	hypothetical protein	A1296	BS103_RS11010	0		ACX60_RS06775	ABD1_RS11075	RR41_RS06835	AB987_RS14130	BS103_RS11010	B7L46_RS01810	IX88_RS13150	A4U85_RS06640	ABCIP7010_RS11465	KAB07_RS11675	LX00_RS11470	ABA1_RS11625	BJAB0715_RS12665	IOMTU433_RS06870	Aba3207_RS04255	RU84_RS06610	AB895_RS00930	C2U32_RS07375	P795_RS06280	
1287	19	LLM class flavin-dependent oxidoreductase	B8300	AB987_RS14135	0		ACX60_RS06780	ABD1_RS11070	RR41_RS06840	AB987_RS14135	BS103_RS11005	B7L46_RS01805	IX88_RS13145	A4U85_RS06645	ABCIP7010_RS11460	KAB07_RS11670	LX00_RS11465	ABA1_RS11620	BJAB0715_RS12660	IOMTU433_RS06875	Aba3207_RS04250	RU84_RS06615	AB895_RS00925	C2U32_RS07370	P795_RS06285	
1288	19	hypothetical protein	7978mff	ACX60_RS06785	0		ACX60_RS06785	ABD1_RS11065	RR41_RS06845	AB987_RS14140	BS103_RS11000	B7L46_RS01800	IX88_RS13140	A4U85_RS06650	ABCIP7010_RS11455	KAB07_RS11665	LX00_RS11460	ABA1_RS11615	BJAB0715_RS12655	IOMTU433_RS06880	Aba3207_RS04245	RU84_RS06620	AB895_RS00920	C2U32_RS07365	P795_RS06290	
1289	19	hypothetical protein	7978mff	ACX60_RS06790	0		ACX60_RS06790	ABD1_RS11055	RR41_RS06855	AB987_RS14150	BS103_RS10990	B7L46_RS01790	IX88_RS13135	A4U85_RS06660	ABCIP7010_RS11450	KAB07_RS11660	LX00_RS11455	ABA1_RS11605	BJAB0715_RS12645	IOMTU433_RS06885	Aba3207_RS04240	RU84_RS06625	AB895_RS00910	C2U32_RS07355	P795_RS06295	
1290	19	LysR family transcriptional regulator	7978mff	ACX60_RS06795	0		ACX60_RS06795	ABD1_RS11050	RR41_RS06860	AB987_RS14155	BS103_RS10985	B7L46_RS01785	IX88_RS13130	A4U85_RS06665	ABCIP7010_RS11445	KAB07_RS11655	LX00_RS11450	ABA1_RS11600	BJAB0715_RS12640	IOMTU433_RS06890	Aba3207_RS04235	RU84_RS06630	AB895_RS00905	C2U32_RS07350	P795_RS06300	
1291	19	type 1 glutamine amidotransferase domain-containing protein	B8300	AB987_RS14160	0		ACX60_RS06800	ABD1_RS11045	RR41_RS06865	AB987_RS14160	BS103_RS10980	B7L46_RS01780	IX88_RS13125	A4U85_RS06670	ABCIP7010_RS11440	KAB07_RS11650	LX00_RS11445	ABA1_RS11595	BJAB0715_RS12635	IOMTU433_RS06895	Aba3207_RS04230	RU84_RS06635	AB895_RS00900	C2U32_RS07345	P795_RS06305	
1292	19	peptide chain release factor 1	7978mff	ACX60_RS06805	0		ACX60_RS06805	ABD1_RS11040	RR41_RS06870	AB987_RS14165	BS103_RS10975	B7L46_RS01775	IX88_RS13120	A4U85_RS06675	ABCIP7010_RS11435	KAB07_RS11645	LX00_RS11440	ABA1_RS11590	BJAB0715_RS12630	IOMTU433_RS06900	Aba3207_RS04225	RU84_RS06640	AB895_RS00895	C2U32_RS07340	P795_RS06310	
1293	19	peptide chain release factor N(5)-glutamine methyltransferase	A1296	BS103_RS10970	0		ACX60_RS06810	ABD1_RS11035	RR41_RS06875	AB987_RS14170	BS103_RS10970	B7L46_RS01770	IX88_RS13115	A4U85_RS06680	ABCIP7010_RS11430	KAB07_RS11640	LX00_RS11435	ABA1_RS11585	BJAB0715_RS12625	IOMTU433_RS06905	Aba3207_RS04220	RU84_RS06645	AB895_RS00890	C2U32_RS07335	P795_RS06315	
1294	19	AraC family transcriptional regulator	LAC4b	RR41_RS06880	0		ACX60_RS06815	ABD1_RS11030	RR41_RS06880	AB987_RS14185	BS103_RS10965	B7L46_RS01765	IX88_RS13100	A4U85_RS06685	ABCIP7010_RS11425	KAB07_RS11625	LX00_RS11430	ABA1_RS11570	BJAB0715_RS12620	IOMTU433_RS06920	Aba3207_RS04215	RU84_RS06650	AB895_RS00885	C2U32_RS07330	P795_RS06320	
1295	19	3-hydroxyacyl-CoA dehydrogenase	7978mff	ACX60_RS06820	0		ACX60_RS06820	ABD1_RS11025	RR41_RS06885	AB987_RS14190	BS103_RS10960	B7L46_RS01760	IX88_RS13095	A4U85_RS06690	ABCIP7010_RS11420	KAB07_RS11620	LX00_RS11425	ABA1_RS11565	BJAB0715_RS12615	IOMTU433_RS06925	Aba3207_RS04210	RU84_RS06655	AB895_RS00880	C2U32_RS07325	P795_RS06325	
1296	18	butyryl-CoA dehydrogenase	manniia	ABCIP7010_RS11415	0		ACX60_RS06825	ABD1_RS11020	RR41_RS06890	AB987_RS14195	BS103_RS10955	B7L46_RS01755	IX88_RS13090		ABCIP7010_RS11415	KAB07_RS11615	LX00_RS11420	ABA1_RS11560	BJAB0715_RS12610	IOMTU433_RS06930	Aba3207_RS04205	RU84_RS06660	AB895_RS00875	C2U32_RS07320	P795_RS06330	
1297	19	AMP-binding protein	7978mff	ACX60_RS06830	0		ACX60_RS06830	ABD1_RS11015	RR41_RS06895	AB987_RS14200	BS103_RS10950	B7L46_RS01750	IX88_RS13085	A4U85_RS06700	ABCIP7010_RS11410	KAB07_RS11610	LX00_RS11415	ABA1_RS11555	BJAB0715_RS12605	IOMTU433_RS06935	Aba3207_RS04200	RU84_RS06665	AB895_RS00870	C2U32_RS07315	P795_RS06335	
1298	19	flavin reductase	1279779	ABD1_RS11010	0		ACX60_RS06835	ABD1_RS11010	RR41_RS06900	AB987_RS14205	BS103_RS10945	B7L46_RS01745	IX88_RS13080	A4U85_RS06705	ABCIP7010_RS11405	KAB07_RS11605	LX00_RS11410	ABA1_RS11550	BJAB0715_RS12600	IOMTU433_RS06940	Aba3207_RS04195	RU84_RS06670	AB895_RS00865	C2U32_RS07310	P795_RS06340	
1299	19	molybdopterin biosynthesis protein	7978mff	ACX60_RS06840	0		ACX60_RS06840	ABD1_RS11005	RR41_RS06905	AB987_RS14210	BS103_RS10940	B7L46_RS01740	IX88_RS13075	A4U85_RS06710	ABCIP7010_RS11400	KAB07_RS11600	LX00_RS11405	ABA1_RS11545	BJAB0715_RS12595	IOMTU433_RS06945	Aba3207_RS04190	RU84_RS06675	AB895_RS00860	C2U32_RS07305	P795_RS06345	
1300	19	AarF/ABC1/UbiB kinase family protein	ab736	A4U85_RS06715	0		ACX60_RS06845	ABD1_RS11000	RR41_RS06910	AB987_RS14215	BS103_RS10935	B7L46_RS01735	IX88_RS13070	A4U85_RS06715	ABCIP7010_RS11395	KAB07_RS11595	LX00_RS11400	ABA1_RS11540	BJAB0715_RS12590	IOMTU433_RS06950	Aba3207_RS04185	RU84_RS06680	AB895_RS00855	C2U32_RS07300	P795_RS06350	
1301	19	dihydroneopterin aldolase	LAC4b	RR41_RS06915	0		ACX60_RS06850	ABD1_RS10995	RR41_RS06915	AB987_RS14220	BS103_RS10930	B7L46_RS01730	IX88_RS13065	A4U85_RS06720	ABCIP7010_RS11390	KAB07_RS11590	LX00_RS11395	ABA1_RS11535	BJAB0715_RS12585	IOMTU433_RS06955	Aba3207_RS04180	RU84_RS06685	AB895_RS00850	C2U32_RS07295	P795_RS06355	
1302	19	2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase	AB031	IX88_RS13060	0		ACX60_RS06855	ABD1_RS10990	RR41_RS06920	AB987_RS14225	BS103_RS10925	B7L46_RS01725	IX88_RS13060	A4U85_RS06725	ABCIP7010_RS11385	KAB07_RS11585	LX00_RS11390	ABA1_RS11530	BJAB0715_RS12580	IOMTU433_RS06960	Aba3207_RS04175	RU84_RS06690	AB895_RS00845	C2U32_RS07290	P795_RS06360	
1303	19	potassium-transporting ATPase subunit KdpA	1279779	ABD1_RS10985	0		ACX60_RS06860	ABD1_RS10985	RR41_RS06925	AB987_RS14230	BS103_RS10920	B7L46_RS01720	IX88_RS13055	A4U85_RS06730	ABCIP7010_RS11380	KAB07_RS11580	LX00_RS11385	ABA1_RS11525	BJAB0715_RS12575	IOMTU433_RS06965	Aba3207_RS04170	RU84_RS06695	AB895_RS00840	C2U32_RS07285	P795_RS06365	
1304	18	K(+)-transporting ATPase subunit B	B8342	AB895_RS00835	0		ACX60_RS06865	ABD1_RS10980		AB987_RS14235	BS103_RS10915	B7L46_RS01715	IX88_RS13050	A4U85_RS06735	ABCIP7010_RS11375	KAB07_RS11575	LX00_RS11380	ABA1_RS11520	BJAB0715_RS12570	IOMTU433_RS06970	Aba3207_RS04165	RU84_RS06700	AB895_RS00835	C2U32_RS07280	P795_RS06370	
1305	19	potassium-transporting ATPase subunit KdpC	ab736	A4U85_RS06740	0		ACX60_RS06870	ABD1_RS10975	RR41_RS06935	AB987_RS14240	BS103_RS10910	B7L46_RS01710	IX88_RS13045	A4U85_RS06740	ABCIP7010_RS11370	KAB07_RS11570	LX00_RS11375	ABA1_RS11515	BJAB0715_RS12565	IOMTU433_RS06975	Aba3207_RS04160	RU84_RS06705	AB895_RS00830	C2U32_RS07275	P795_RS06375	
1306	19	sensor histidine kinase KdpD	B8300	AB987_RS14245	0	FG-In	ACX60_RS06875	ABD1_RS10970	RR41_RS06940	AB987_RS14245	BS103_RS10905	B7L46_RS01705	IX88_RS13040	A4U85_RS06745	ABCIP7010_RS11365	KAB07_RS11565	LX00_RS11370	ABA1_RS11510	BJAB0715_RS12550	IOMTU433_RS06980	Aba3207_RS04155	RU84_RS06710	AB895_RS00825	C2U32_RS07270	P795_RS06380	
1307	19	DNA-binding response regulator	manniia	ABCIP7010_RS11360	0		ACX60_RS06880	ABD1_RS10965	RR41_RS06945	AB987_RS14250	BS103_RS10900	B7L46_RS01700	IX88_RS13035	A4U85_RS06750	ABCIP7010_RS11360	KAB07_RS11560	LX00_RS11365	ABA1_RS11505	BJAB0715_RS12545	IOMTU433_RS06985	Aba3207_RS04150	RU84_RS06715	AB895_RS00820	C2U32_RS07265	P795_RS06385	
1308	19	glutamine synthetase	ABNIH28	C2U32_RS07260	0		ACX60_RS06885	ABD1_RS10960	RR41_RS06960	AB987_RS14255	BS103_RS10895	B7L46_RS01695	IX88_RS13030	A4U85_RS06755	ABCIP7010_RS11355	KAB07_RS11555	LX00_RS11360	ABA1_RS11500	BJAB0715_RS12540	IOMTU433_RS06990	Aba3207_RS04145	RU84_RS06720	AB895_RS00815	C2U32_RS07260	P795_RS06390	
1309	19	DUF2799 domain-containing protein	7978mff	ACX60_RS06890	0		ACX60_RS06890	ABD1_RS10955	RR41_RS06965	AB987_RS14260	BS103_RS10890	B7L46_RS01690	IX88_RS13025	A4U85_RS06760	ABCIP7010_RS11350	KAB07_RS11550	LX00_RS11355	ABA1_RS11495	BJAB0715_RS12535	IOMTU433_RS06995	Aba3207_RS04140	RU84_RS06725	AB895_RS00810	C2U32_RS07255	P795_RS06395	
1310	19	2-nonaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase	7978mff	ACX60_RS06895	0		ACX60_RS06895	ABD1_RS10950	RR41_RS06970	AB987_RS14265	BS103_RS10885	B7L46_RS01685	IX88_RS13020	A4U85_RS06765	ABCIP7010_RS11345	KAB07_RS11545	LX00_RS11350	ABA1_RS11490	BJAB0715_RS12530	IOMTU433_RS07000	Aba3207_RS04135	RU84_RS06730	AB895_RS00805	C2U32_RS07250	P795_RS06400	
1311	19	MFS transporter	7978mff	ACX60_RS06900	0		ACX60_RS06900	ABD1_RS10945	RR41_RS06975	AB987_RS14270	BS103_RS10880	B7L46_RS01680	IX88_RS13015	A4U85_RS06770	ABCIP7010_RS11340	KAB07_RS11540	LX00_RS11345	ABA1_RS11485	BJAB0715_RS12525	IOMTU433_RS07005	Aba3207_RS04130	RU84_RS06735	AB895_RS00800	C2U32_RS07245	P795_RS06405	
1312	19	outer membrane protein assembly factor	7978mff	ACX60_RS06905	0		ACX60_RS06905	ABD1_RS10940	RR41_RS06980	AB987_RS14275	BS103_RS10875	B7L46_RS01675	IX88_RS13010	A4U85_RS06775	ABCIP7010_RS11335	KAB07_RS11535	LX00_RS11340	ABA1_RS11480	BJAB0715_RS12520	IOMTU433_RS07010	Aba3207_RS04125	RU84_RS06740	AB895_RS00795	C2U32_RS07240	P795_RS06410	
1313	19	DUF490 domain-containing protein	7978mff	ACX60_RS06910	0		ACX60_RS06910	ABD1_RS10935	RR41_RS06985	AB987_RS14280	BS103_RS10870	B7L46_RS01670	IX88_RS13005	A4U85_RS06780	ABCIP7010_RS11330	KAB07_RS11530	LX00_RS11335	ABA1_RS11475	BJAB0715_RS12515	IOMTU433_RS07015	Aba3207_RS04120	RU84_RS06745	AB895_RS00790	C2U32_RS07235	P795_RS06415	
1314	19	hypothetical protein	1279779	ABD1_RS10930	0		ACX60_RS06915	ABD1_RS10930	RR41_RS06990	AB987_RS14285	BS103_RS10865	B7L46_RS01665	IX88_RS13000	A4U85_RS06785	ABCIP7010_RS11325	KAB07_RS11525	LX00_RS11330	ABA1_RS11470	BJAB0715_RS12135	IOMTU433_RS07020	Aba3207_RS03630	RU84_RS06750	AB895_RS00785	C2U32_RS07230	P795_RS06420	
1315	19	bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase	7978mff	ACX60_RS06920	0		ACX60_RS06920	ABD1_RS10925	RR41_RS06995	AB987_RS14295	BS103_RS10855	B7L46_RS01655	IX88_RS12995	A4U85_RS06795	ABCIP7010_RS11320	KAB07_RS11520	LX00_RS11325	ABA1_RS11465	BJAB0715_RS12130	IOMTU433_RS07025	Aba3207_RS03625	RU84_RS06755	AB895_RS00775	C2U32_RS07220	P795_RS06425	
1316	19	hypothetical protein	LAC4b	RR41_RS07000	0		ACX60_RS06925	ABD1_RS10920	RR41_RS07000	AB987_RS14300	BS103_RS10850	B7L46_RS01650	IX88_RS12990	A4U85_RS06800	ABCIP7010_RS11315	KAB07_RS11515	LX00_RS11320	ABA1_RS11460	BJAB0715_RS12125	IOMTU433_RS07030	Aba3207_RS03620	RU84_RS06760	AB895_RS00770	C2U32_RS07215	P795_RS06430	
1317	19	ion transporter	1279779	ABD1_RS10915	0		ACX60_RS06930	ABD1_RS10915	RR41_RS07010	AB987_RS14305	BS103_RS10845	B7L46_RS01645	IX88_RS12985	A4U85_RS06805	ABCIP7010_RS11310	KAB07_RS11510	LX00_RS11315	ABA1_RS11455	BJAB0715_RS12120	IOMTU433_RS07035	Aba3207_RS03615	RU84_RS06765	AB895_RS00765	C2U32_RS07210	P795_RS06435	
1318	19	MFS transporter	1279779	ABD1_RS10910	0		ACX60_RS06935	ABD1_RS10910	RR41_RS07015	AB987_RS14310	BS103_RS10840	B7L46_RS01640	IX88_RS12980	A4U85_RS06810	ABCIP7010_RS11305	KAB07_RS11505	LX00_RS11310	ABA1_RS11450	BJAB0715_RS12115	IOMTU433_RS07040	Aba3207_RS03610	RU84_RS06770	AB895_RS00760	C2U32_RS07205	P795_RS06440	
1319	18	membrane protein	7978mff	ACX60_RS06940	0	FG-In	ACX60_RS06940		RR41_RS07020	AB987_RS14315	BS103_RS10835	B7L46_RS01635	IX88_RS12975	A4U85_RS06815	ABCIP7010_RS11300	KAB07_RS11500	LX00_RS11305	ABA1_RS11445	BJAB0715_RS12110	IOMTU433_RS07045	Aba3207_RS03605	RU84_RS06775	AB895_RS00755	C2U32_RS07200	P795_RS06445	
1320	19	DUF4198 domain-containing protein	B8342	AB895_RS00750	0	FG-In	ACX60_RS06945	ABD1_RS10900	RR41_RS07025	AB987_RS14535	BS103_RS10830	B7L46_RS01625	IX88_RS12970	A4U85_RS06820	ABCIP7010_RS11295	KAB07_RS11495	LX00_RS11300	ABA1_RS11440	BJAB0715_RS12105	IOMTU433_RS07050	Aba3207_RS03600	RU84_RS06780	AB895_RS00750	C2U32_RS07195	P795_RS06450	
1321	19	LysR family transcriptional regulator	7978mff	ACX60_RS06950	0		ACX60_RS06950	ABD1_RS10895	RR41_RS07030	AB987_RS14540	BS103_RS10825	B7L46_RS01620	IX88_RS12965	A4U85_RS06825	ABCIP7010_RS11290	KAB07_RS11490	LX00_RS11295	ABA1_RS11435	BJAB0715_RS12100	IOMTU433_RS07055	Aba3207_RS03595	RU84_RS06785	AB895_RS00745	C2U32_RS07175	P795_RS06455	
1322	19	DUF441 domain-containing protein	7978mff	ACX60_RS06955	0		ACX60_RS06955	ABD1_RS10890	RR41_RS07035	AB987_RS14545	BS103_RS10820	B7L46_RS01610	IX88_RS12960	A4U85_RS06830	ABCIP7010_RS11285	KAB07_RS11485	LX00_RS11290	ABA1_RS11430	BJAB0715_RS12095	IOMTU433_RS07060	Aba3207_RS03590	RU84_RS06790	AB895_RS00740	C2U32_RS07170	P795_RS06460	
1323	19	hypothetical protein	7978mff	ACX60_RS06960	0		ACX60_RS06960	ABD1_RS10885	RR41_RS07040	AB987_RS14550	BS103_RS10815	B7L46_RS01605	IX88_RS12955	A4U85_RS06835	ABCIP7010_RS11280	KAB07_RS11480	LX00_RS11285	ABA1_RS11425	BJAB0715_RS12090	IOMTU433_RS07065	Aba3207_RS03585	RU84_RS06795	AB895_RS00735	C2U32_RS07165	P795_RS06465	
1324	19	rRNA pseudouridine synthase	bH12OA2	LX00_RS11280	0		ACX60_RS06965	ABD1_RS10880	RR41_RS07045	AB987_RS14555	BS103_RS10810	B7L46_RS01600	IX88_RS12950	A4U85_RS06840	ABCIP7010_RS11275	KAB07_RS11475	LX00_RS11280	ABA1_RS11420	BJAB0715_RS12085	IOMTU433_RS07070	Aba3207_RS03580	RU84_RS06800	AB895_RS00730	C2U32_RS07160	P795_RS06470	
1325	18	N-acetyltransferase	LAC4b	RR41_RS07050	0		ACX60_RS06970		RR41_RS07050	AB987_RS14560	BS103_RS10805	B7L46_RS01595	IX88_RS12945	A4U85_RS06845	ABCIP7010_RS11270	KAB07_RS11470	LX00_RS11275	ABA1_RS11415	BJAB0715_RS12080	IOMTU433_RS07075	Aba3207_RS03575	RU84_RS06805	AB895_RS00725	C2U32_RS07155	P795_RS06475	
1326	19	type II toxin-antitoxin system antitoxin, RelB/DinJ family	7978mff	ACX60_RS06975	0		ACX60_RS06975	ABD1_RS10870	RR41_RS07055	AB987_RS14565	BS103_RS10800	B7L46_RS01590	IX88_RS12940	A4U85_RS06850	ABCIP7010_RS11265	KAB07_RS11465	LX00_RS11270	ABA1_RS11410	BJAB0715_RS12075	IOMTU433_RS07080	Aba3207_RS03570	RU84_RS06810	AB895_RS00720	C2U32_RS07150	P795_RS06480	
1327	19	pseudouridylate synthase	bH12OA2	LX00_RS11265	0		ACX60_RS06980	ABD1_RS10865	RR41_RS07060	AB987_RS14570	BS103_RS10795	B7L46_RS01585	IX88_RS12935	A4U85_RS06855	ABCIP7010_RS11260	KAB07_RS11460	LX00_RS11265	ABA1_RS11405	BJAB0715_RS12070	IOMTU433_RS07085	Aba3207_RS03565	RU84_RS06815	AB895_RS00715	C2U32_RS07145	P795_RS06485	
1328	19	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE	7978mff	ACX60_RS06985	0		ACX60_RS06985	ABD1_RS10860	RR41_RS07065	AB987_RS14575	BS103_RS10790	B7L46_RS01580	IX88_RS12930	A4U85_RS06860	ABCIP7010_RS11255	KAB07_RS11455	LX00_RS11260	ABA1_RS11400	BJAB0715_RS12065	IOMTU433_RS07090	Aba3207_RS03560	RU84_RS06820	AB895_RS00710	C2U32_RS07140	P795_RS06490	
1329	19	DNA mismatch repair endonuclease MutL	B8300	AB987_RS14580	0		ACX60_RS06990	ABD1_RS10855	RR41_RS07070	AB987_RS14580	BS103_RS10785	B7L46_RS01575	IX88_RS12925	A4U85_RS06865	ABCIP7010_RS11250	KAB07_RS11450	LX00_RS11255	ABA1_RS11395	BJAB0715_RS12060	IOMTU433_RS07095	Aba3207_RS03555	RU84_RS06825	AB895_RS00705	C2U32_RS07135	P795_RS06495	
1330	19	tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaA	7978mff	ACX60_RS06995	0		ACX60_RS06995	ABD1_RS10850	RR41_RS07075	AB987_RS14585	BS103_RS10780	B7L46_RS01570	IX88_RS12920	A4U85_RS06870	ABCIP7010_RS11245	KAB07_RS11445	LX00_RS11250	ABA1_RS11390	BJAB0715_RS12055	IOMTU433_RS07100	Aba3207_RS03550	RU84_RS06830	AB895_RS00700	C2U32_RS07130	P795_RS06500	
1331	19	RNA chaperone Hfq	7978mff	ACX60_RS07000	0		ACX60_RS07000	ABD1_RS10845	RR41_RS07080	AB987_RS14590	BS103_RS10775	B7L46_RS01565	IX88_RS12915	A4U85_RS06875	ABCIP7010_RS11240	KAB07_RS11440	LX00_RS11245	ABA1_RS11385	BJAB0715_RS12050	IOMTU433_RS07105	Aba3207_RS03545	RU84_RS06835	AB895_RS00695	C2U32_RS07125	P795_RS06505	
1332	18	EamA/RhaT family transporter	7978mff	ACX60_RS07005	0		ACX60_RS07005	ABD1_RS10840		AB987_RS14595	BS103_RS10770	B7L46_RS01560	IX88_RS12910	A4U85_RS06880	ABCIP7010_RS11235	KAB07_RS11435	LX00_RS11240	ABA1_RS11380	BJAB0715_RS12045	IOMTU433_RS07110	Aba3207_RS03540	RU84_RS06840	AB895_RS00690	C2U32_RS07120	P795_RS06510	
1333	19	oxygen-insensitive NAD(P)H nitroreductase	ab736	A4U85_RS06885	0		ACX60_RS07010	ABD1_RS10835	RR41_RS07120	AB987_RS14600	BS103_RS10765	B7L46_RS01555	IX88_RS12905	A4U85_RS06885	ABCIP7010_RS11230	KAB07_RS11430	LX00_RS11235	ABA1_RS11375	BJAB0715_RS12040	IOMTU433_RS07115	Aba3207_RS03535	RU84_RS06845	AB895_RS00685	C2U32_RS07115	P795_RS06515	
1334	18	hypothetical protein	7978mff	ACX60_RS07015	0		ACX60_RS07015		RR41_RS07125	AB987_RS14610	BS103_RS10760	B7L46_RS01550	IX88_RS12900	A4U85_RS06890	ABCIP7010_RS11225	KAB07_RS11425	LX00_RS11230	ABA1_RS19040	BJAB0715_RS12035	IOMTU433_RS07120	Aba3207_RS03530	RU84_RS19550	AB895_RS00680	C2U32_RS07110	P795_RS06520	
1335	19	UDP-2,3-diacylglucosamine diphosphatase	AB031	IX88_RS12895	0		ACX60_RS07020	ABD1_RS10830	RR41_RS07130	AB987_RS14615	BS103_RS10755	B7L46_RS01545	IX88_RS12895	A4U85_RS06895	ABCIP7010_RS11220	KAB07_RS11420	LX00_RS11225	ABA1_RS11370	BJAB0715_RS12030	IOMTU433_RS07125	Aba3207_RS03525	RU84_RS06850	AB895_RS00675	C2U32_RS07105	P795_RS06525	
1336	19	cyclophilin	7978mff	ACX60_RS07025	0		ACX60_RS07025	ABD1_RS10825	RR41_RS07135	AB987_RS14620	BS103_RS10750	B7L46_RS01540	IX88_RS12890	A4U85_RS06900	ABCIP7010_RS11215	KAB07_RS11415	LX00_RS11220	ABA1_RS11365	BJAB0715_RS12025	IOMTU433_RS07130	Aba3207_RS03520	RU84_RS06855	AB895_RS00670	C2U32_RS07100	P795_RS06530	
1337	19	glutamine--tRNA ligase/YqeY domain fusion protein	7978mff	ACX60_RS07030	0		ACX60_RS07030	ABD1_RS10820	RR41_RS07140	AB987_RS14625	BS103_RS10745	B7L46_RS01535	IX88_RS12885	A4U85_RS06905	ABCIP7010_RS11210	KAB07_RS11410	LX00_RS11215	ABA1_RS11360	BJAB0715_RS12020	IOMTU433_RS07135	Aba3207_RS03515	RU84_RS06860	AB895_RS00665	C2U32_RS07095	P795_RS06535	
1338	19	GMP synthase	LAC4b	RR41_RS07145	0		ACX60_RS07035	ABD1_RS10815	RR41_RS07145	AB987_RS14630	BS103_RS10740	B7L46_RS01530	IX88_RS12880	A4U85_RS06910	ABCIP7010_RS11205	KAB07_RS11405	LX00_RS11210	ABA1_RS11355	BJAB0715_RS12015	IOMTU433_RS07140	Aba3207_RS03510	RU84_RS06865	AB895_RS00660	C2U32_RS07090	P795_RS06540	
1339	19	ethanolamine ammonia-lyase subunit EutC	A1296	BS103_RS10735	0		ACX60_RS07040	ABD1_RS10810	RR41_RS07150	AB987_RS14635	BS103_RS10735	B7L46_RS01525	IX88_RS12875	A4U85_RS06915	ABCIP7010_RS11200	KAB07_RS11400	LX00_RS11205	ABA1_RS11350	BJAB0715_RS12010	IOMTU433_RS07145	Aba3207_RS03505	RU84_RS06870	AB895_RS00655	C2U32_RS07085	P795_RS06545	
1340	18	ethanolamine ammonia-lyase subunit EutB	A1296	BS103_RS10730	0		ACX60_RS07045	ABD1_RS10805	RR41_RS07155	AB987_RS14640	BS103_RS10730	B7L46_RS01520	IX88_RS12870	A4U85_RS06920	ABCIP7010_RS11195	KAB07_RS11395	LX00_RS11200	ABA1_RS11345	BJAB0715_RS12005	IOMTU433_RS07150		RU84_RS06875	AB895_RS00650	C2U32_RS07080	P795_RS06550	
1341	19	ethanolamine permease	1279779	ABD1_RS10800	0		ACX60_RS07050	ABD1_RS10800	RR41_RS07160	AB987_RS14645	BS103_RS10725	B7L46_RS01515	IX88_RS12865	A4U85_RS06925	ABCIP7010_RS11190	KAB07_RS11390	LX00_RS11195	ABA1_RS11340	BJAB0715_RS12000	IOMTU433_RS07155	Aba3207_RS03480	RU84_RS06880	AB895_RS00645	C2U32_RS07075	P795_RS06555	
1342	19	aldehyde dehydrogenase	7978mff	ACX60_RS07055	0		ACX60_RS07055	ABD1_RS10795	RR41_RS07165	AB987_RS14650	BS103_RS10720	B7L46_RS01510	IX88_RS12860	A4U85_RS06930	ABCIP7010_RS11185	KAB07_RS11385	LX00_RS11190	ABA1_RS11335	BJAB0715_RS11995	IOMTU433_RS07160	Aba3207_RS03475	RU84_RS06885	AB895_RS00640	C2U32_RS07070	P795_RS06560	
1343	19	transcriptional regulator	7978mff	ACX60_RS07060	0		ACX60_RS07060	ABD1_RS10790	RR41_RS07170	AB987_RS14655	BS103_RS10715	B7L46_RS01505	IX88_RS12855	A4U85_RS06935	ABCIP7010_RS11180	KAB07_RS11380	LX00_RS11185	ABA1_RS11330	BJAB0715_RS11990	IOMTU433_RS07165	Aba3207_RS03470	RU84_RS06890	AB895_RS00635	C2U32_RS07065	P795_RS06565	
1344	19	alpha/beta hydrolase	7978mff	ACX60_RS07065	0		ACX60_RS07065	ABD1_RS10785	RR41_RS07175	AB987_RS14660	BS103_RS10710	B7L46_RS01500	IX88_RS12850	A4U85_RS06940	ABCIP7010_RS11175	KAB07_RS11375	LX00_RS11180	ABA1_RS11325	BJAB0715_RS11985	IOMTU433_RS07170	Aba3207_RS03465	RU84_RS06895	AB895_RS00630	C2U32_RS07060	P795_RS06570	
1345	19	alcohol dehydrogenase	7978mff	ACX60_RS07070	0		ACX60_RS07070	ABD1_RS10780	RR41_RS07180	AB987_RS14665	BS103_RS10705	B7L46_RS01495	IX88_RS12845	A4U85_RS06945	ABCIP7010_RS11170	KAB07_RS11370	LX00_RS11175	ABA1_RS11320	BJAB0715_RS11980	IOMTU433_RS07175	Aba3207_RS03460	RU84_RS06900	AB895_RS00625	C2U32_RS07055	P795_RS06575	
